Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
11;2013;1232;Roethlisberger, Ben;QB;pit;h;det;31.88;7300
11;2013;1378;Newton, Cam;QB;car;h;nwe;26.56;8300
11;2013;1207;Palmer, Carson;QB;ari;a;jac;24.46;6600
11;2013;1408;Griffin III, Robert;QB;was;a;phi;23.96;8400
11;2013;1340;Stafford, Matthew;QB;det;a;pit;23.88;9600
11;2013;1413;Foles, Nick;QB;phi;h;was;22.62;8600
11;2013;1254;Smith, Alex;QB;kan;a;den;22.4;6200
11;2013;1437;McGloin, Matt;QB;oak;a;hou;19.58;5000
11;2013;1421;Manuel, E.J.;QB;buf;h;nyj;18.7;5800
11;2013;1412;Wilson, Russell;QB;sea;h;min;18.6;9000
11;2013;1409;Luck, Andrew;QB;ind;a;ten;18.38;8700
11;2013;1420;Glennon, Mike;QB;tam;h;atl;17.64;6800
11;2013;1301;Ryan, Matt;QB;atl;a;tam;16.16;7700
11;2013;1410;Tannehill, Ryan;QB;mia;h;sdg;15.82;7000
11;2013;1231;Rivers, Philip;QB;sdg;a;mia;15.52;7900
11;2013;1242;Fitzpatrick, Ryan;QB;ten;h;ind;15.48;6700
11;2013;1131;Brady, Tom;QB;nwe;a;car;15.14;8900
11;2013;1151;Brees, Drew;QB;nor;h;sfo;15.1;10600
11;2013;1081;Manning, Peyton;QB;den;h;kan;14.92;11000
11;2013;1404;Kaepernick, Colin;QB;sfo;a;nor;14.58;8000
11;2013;1225;Manning, Eli;QB;nyg;h;gnb;14.46;6100
11;2013;1403;Dalton, Andy;QB;cin;h;cle;13.72;8100
11;2013;1175;McCown, Josh;QB;chi;h;bal;12.54;5400
11;2013;1309;Henne, Chad;QB;jac;h;ari;12.2;5200
11;2013;1405;Tolzien, Scott;QB;gnb;a;nyg;11.66;6000
11;2013;1240;Campbell, Jason;QB;cle;a;cin;10.92;6800
11;2013;1302;Flacco, Joe;QB;bal;a;chi;10.48;7100
11;2013;1435;Keenum, Case;QB;hou;h;oak;9.8;6600
11;2013;1436;Simms, Matt;QB;nyj;a;buf;6.4;5000
11;2013;1234;Schaub, Matt;QB;hou;h;oak;6.2;6500
11;2013;1241;Cassel, Matt;QB;min;a;sea;6.12;5000
11;2013;1386;Ponder, Christian;QB;min;a;sea;5.16;6500
11;2013;1419;Davis, Dominique;QB;atl;a;tam;3.36;5000
11;2013;1260;Jackson, Tarvaris;QB;sea;h;min;0.14;5000
11;2013;1249;Orlovsky, Dan;QB;tam;h;atl;0;5000
11;2013;1227;McCown, Luke;QB;nor;h;sfo;0;5000
11;2013;1426;Smith, Geno;QB;nyj;a;buf;-0.88;6400
