Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
9;2011;1252;Rodgers, Aaron;QB;gnb;a;sdg;31.08;9800
9;2011;1231;Rivers, Philip;QB;sdg;h;gnb;28.3;8400
9;2011;1373;Tebow, Tim;QB;den;a;oak;24.76;8000
9;2011;1207;Palmer, Carson;QB;oak;h;den;22.58;5900
9;2011;1298;Moore, Matt;QB;mia;a;kan;22.06;5900
9;2011;1301;Ryan, Matt;QB;atl;a;ind;22;8000
9;2011;1403;Dalton, Andy;QB;cin;a;ten;21.08;6800
9;2011;1233;Romo, Tony;QB;dal;h;sea;20.46;8100
9;2011;1151;Brees, Drew;QB;nor;h;tam;19.32;9500
9;2011;1060;Hasselbeck, Matt;QB;ten;h;cin;19.18;7100
9;2011;1131;Brady, Tom;QB;nwe;h;nyg;18.18;9200
9;2011;1225;Manning, Eli;QB;nyg;a;nwe;18.1;8200
9;2011;1232;Roethlisberger, Ben;QB;pit;h;bal;17.5;8500
9;2011;1369;Skelton, John;QB;ari;h;stl;16.68;5000
9;2011;1263;Cutler, Jay;QB;chi;a;phi;16.32;7200
9;2011;1280;Beck, John;QB;was;h;sfo;16.06;6500
9;2011;1330;Freeman, Josh;QB;tam;a;nor;16.04;7400
9;2011;1302;Flacco, Joe;QB;bal;a;pit;14;8000
9;2011;1241;Cassel, Matt;QB;kan;h;mia;13.92;7200
9;2011;1254;Smith, Alex;QB;sfo;a;was;12.9;7000
9;2011;1242;Fitzpatrick, Ryan;QB;buf;h;nyj;12.54;8000
9;2011;1155;Vick, Michael;QB;phi;h;chi;10.92;9600
9;2011;1339;Sanchez, Mark;QB;nyj;a;buf;9.9;7400
9;2011;1234;Schaub, Matt;QB;hou;h;cle;9.76;8100
9;2011;1361;McCoy, Colt;QB;cle;a;hou;9.44;7000
9;2011;1344;Bradford, Sam;QB;stl;a;ari;9.4;6800
9;2011;1260;Jackson, Tarvaris;QB;sea;a;dal;6.14;5700
9;2011;1332;Painter, Curtis;QB;ind;h;atl;3.42;6600
9;2011;1249;Orlovsky, Dan;QB;ind;h;atl;0.8;5000
9;2011;1320;Johnson, Josh;QB;tam;a;nor;0.1;5000
9;2011;1015;Brunell, Mark;QB;nyj;a;buf;0;5000
9;2011;1140;Redman, Chris;QB;atl;a;ind;0;5000
9;2011;1334;Daniel, Chase;QB;nor;h;tam;0;5000
9;2011;2373;McGahee, Willis;RB;den;a;oak;28.3;6100
9;2011;2696;Foster, Arian;RB;hou;h;cle;23.5;9800
9;2011;2647;Tolbert, Mike;RB;sdg;h;gnb;22.2;6900
9;2011;2495;Bush, Reggie;RB;mia;a;kan;21.7;6100
9;2011;2552;Lynch, Marshawn;RB;sea;a;dal;20.8;6400
9;2011;2831;Murray, DeMarco;RB;dal;h;sea;20.6;6700
9;2011;2707;McCoy, LeSean;RB;phi;h;chi;20.2;9800
9;2011;2536;Bush, Michael;RB;oak;h;den;19.9;6500
9;2011;2813;Helu, Roy;RB;was;h;sfo;19.6;4800
9;2011;2484;Sproles, Darren;RB;nor;h;tam;18.4;7400
9;2011;2472;Jacobs, Brandon;RB;nyg;a;nwe;18;6400
9;2011;2779;Tate, Ben;RB;hou;h;cle;17.5;5800
9;2011;2598;Thomas, Pierre;RB;nor;h;tam;17.1;6300
9;2011;2608;Rice, Ray;RB;bal;a;pit;17.1;9800
9;2011;2418;Jackson, Steven;RB;stl;a;ari;14.7;8100
9;2011;2434;Turner, Michael;RB;atl;a;ind;14.3;8600
9;2011;2645;Johnson, Chris;RB;ten;h;cin;13;7600
9;2011;2665;Reece, Marcel;RB;oak;h;den;12.6;4500
9;2011;2613;Forte, Matt;RB;chi;a;phi;12.5;9500
9;2011;2270;Tomlinson, LaDainian;RB;nyj;a;buf;12.3;5900
9;2011;2635;Mendenhall, Rashard;RB;pit;h;bal;12;7000
9;2011;2467;Gore, Frank;RB;sfo;a;was;11.9;9100
9;2011;2520;Jackson, Fred;RB;buf;h;nyj;11.5;9100
9;2011;2452;Barber III, Marion;RB;chi;a;phi;10.4;5800
9;2011;2834;Miller, Bruce;RB;sfo;a;was;9.5;4500
9;2011;2721;Blount, LeGarrette;RB;tam;a;nor;9;6400
9;2011;2777;Starks, James;RB;gnb;a;sdg;8;6600
9;2011;2454;Benson, Cedric;RB;cin;a;ten;7.8;6800
9;2011;2705;Brown, Donald;RB;ind;h;atl;7.6;5400
9;2011;2709;Greene, Shonn;RB;nyj;a;buf;7.6;6900
9;2011;2689;Woodhead, Danny;RB;nwe;h;nyg;7.5;4900
9;2011;2726;Conner, John;RB;nyj;a;buf;6.8;4500
9;2011;2650;Green-Ellis, BenJarvus;RB;nwe;h;nyg;6.8;6600
9;2011;2741;Ivory, Chris;RB;nor;h;tam;6.7;4800
9;2011;2818;Rodgers, Jacquizz;RB;atl;a;ind;6.5;4500
9;2011;4543;Clay, Charles;RB;mia;a;kan;6.5;4500
9;2011;2456;Brown, Ronnie;RB;phi;h;chi;6.4;4800
9;2011;2649;Lumpkin, Kregg;RB;tam;a;nor;5.8;5200
9;2011;2601;Battle, Jackie;RB;kan;h;mia;5.4;5700
9;2011;3953;McCluster, Dexter;RB;kan;h;mia;4.9;5000
9;2011;2704;Wells, Beanie;RB;ari;h;stl;4.3;7500
9;2011;2189;Williams, Ricky;RB;bal;a;pit;4;5200
9;2011;2642;Forsett, Justin;RB;sea;a;dal;3.2;4800
9;2011;2673;Ringer, Javon;RB;ten;h;cin;3;5500
9;2011;2756;McKnight, Joe;RB;nyj;a;buf;2.7;4500
9;2011;2691;Ogbonnaya, Chris;RB;cle;a;hou;2.6;5300
9;2011;2814;Hunter, Kendall;RB;sfo;a;was;2.5;5000
9;2011;2695;Scott, Bernard;RB;cin;a;ten;2.4;5800
9;2011;2633;Ware, Danny;RB;nyg;a;nwe;2.3;4500
9;2011;2716;Pressley, Chris;RB;cin;a;ten;2.3;4500
9;2011;2435;Ward, Derrick;RB;hou;h;cle;2.2;4800
9;2011;2337;Taylor, Chester;RB;ari;h;stl;2.1;4800
9;2011;2706;Moreno, Knowshon;RB;den;a;oak;1.8;6400
9;2011;2791;Young, Darrel;RB;was;h;sfo;1.7;4500
9;2011;2829;Ridley, Stevan;RB;nwe;h;nyg;1.7;4800
9;2011;2487;Williams, Carnell;RB;stl;a;ari;1.7;4900
9;2011;2507;Washington, Leon;RB;sea;a;dal;1.6;4800
9;2011;2580;Grant, Ryan;RB;gnb;a;sdg;1.6;6000
9;2011;2563;Snelling, Jason;RB;atl;a;ind;1.5;4800
9;2011;2677;Redman, Isaac;RB;pit;h;bal;1.5;5000
9;2011;2621;Torain, Ryan;RB;was;h;sfo;1.4;5900
9;2011;2530;Hall, Ahmard;RB;ten;h;cin;1.4;4500
9;2011;2669;Ball, Lance;RB;den;a;oak;1.4;5000
