Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
1;2014;1301;Ryan, Matt;QB;atl;h;nor;31.42;8100
1;2014;1340;Stafford, Matthew;QB;det;h;nyg;30.04;9300
1;2014;1409;Luck, Andrew;QB;ind;a;den;28.7;9200
1;2014;1081;Manning, Peyton;QB;den;h;ind;22.46;10200
1;2014;1207;Palmer, Carson;QB;ari;h;sdg;21.06;6900
1;2014;1382;Locker, Jake;QB;ten;a;kan;20.04;6600
1;2014;1263;Cutler, Jay;QB;chi;h;buf;19.96;8000
1;2014;1412;Wilson, Russell;QB;sea;h;gnb;18.54;8100
1;2014;1232;Roethlisberger, Ben;QB;pit;h;cle;18.4;7800
1;2014;1403;Dalton, Andy;QB;cin;a;bal;18.34;7800
1;2014;1239;Anderson, Derek;QB;car;a;tam;18.2;5000
1;2014;1421;Manuel, E.J.;QB;buf;a;chi;17.82;6500
1;2014;1302;Flacco, Joe;QB;bal;h;cin;17.5;6600
1;2014;1309;Henne, Chad;QB;jac;a;phi;17.44;5600
1;2014;1404;Kaepernick, Colin;QB;sfo;a;dal;17.14;8500
1;2014;1151;Brees, Drew;QB;nor;a;atl;16.52;9700
1;2014;1175;McCown, Josh;QB;tam;h;car;16.02;6200
1;2014;1413;Foles, Nick;QB;phi;h;jac;15.88;8500
1;2014;1241;Cassel, Matt;QB;min;a;stl;14.5;5400
1;2014;1441;Carr, Derek;QB;oak;a;nyj;13.94;5400
1;2014;1410;Tannehill, Ryan;QB;mia;h;nwe;13.92;6500
1;2014;1426;Smith, Geno;QB;nyj;h;oak;13.64;7000
1;2014;1231;Rivers, Philip;QB;sdg;a;ari;13.52;8100
1;2014;1242;Fitzpatrick, Ryan;QB;hou;h;was;13.24;6100
1;2014;1336;Hoyer, Brian;QB;cle;a;pit;13;5600
1;2014;1254;Smith, Alex;QB;kan;h;ten;12.68;6900
1;2014;1233;Romo, Tony;QB;dal;h;sfo;12.24;8300
1;2014;1252;Rodgers, Aaron;QB;gnb;a;sea;10.56;9600
1;2014;1131;Brady, Tom;QB;nwe;a;mia;10.26;9100
1;2014;1408;Griffin III, Robert;QB;was;a;hou;8.88;8400
1;2014;1225;Manning, Eli;QB;nyg;a;det;8.52;6600
1;2014;1213;Hill, Shaun;QB;stl;h;min;2.14;5000
1;2014;1399;Yates, T.J.;QB;atl;h;nor;0;5000
1;2014;1227;McCown, Luke;QB;nor;a;atl;0;5000
1;2014;1155;Vick, Michael;QB;nyj;h;oak;0;7600
1;2014;2888;Bell, Le'Veon;RB;pit;h;cle;28.7;8300
1;2014;2552;Lynch, Marshawn;RB;sea;h;gnb;24.9;8800
1;2014;2613;Forte, Matt;RB;chi;h;buf;20.9;9300
1;2014;2831;Murray, DeMarco;RB;dal;h;sfo;19.8;8800
1;2014;2706;Moreno, Knowshon;RB;mia;h;nwe;19.4;6100
1;2014;2793;Ingram, Mark;RB;nor;a;atl;18.6;5200
1;2014;2658;Jennings, Rashad;RB;nyg;a;det;17.6;6700
1;2014;2645;Johnson, Chris;RB;nyj;h;oak;17.6;6500
1;2014;2642;Forsett, Justin;RB;bal;h;cin;16.9;4900
1;2014;2484;Sproles, Darren;RB;phi;h;jac;16.5;5900
1;2014;2741;Ivory, Chris;RB;nyj;h;oak;16.2;5300
1;2014;2830;Vereen, Shane;RB;nwe;a;mia;15.6;6600
1;2014;2886;Ball, Montee;RB;den;h;ind;15.3;8000
1;2014;2969;Crowell, Isaiah;RB;cle;a;pit;15.2;4500
1;2014;2707;McCoy, LeSean;RB;phi;h;jac;14.5;9400
1;2014;2889;Bernard, Giovani;RB;cin;a;bal;14;8000
1;2014;2775;Spiller, C.J.;RB;buf;a;chi;13.9;7600
1;2014;2859;Miller, Lamar;RB;mia;h;nwe;13.8;6300
1;2014;2754;Mathews, Ryan;RB;sdg;a;ari;13;6800
1;2014;2774;Smith, Antone;RB;atl;h;nor;12.6;4500
1;2014;2719;Bell, Joique;RB;det;h;nyg;12.1;6800
1;2014;2598;Thomas, Pierre;RB;nor;a;atl;11.9;6600
1;2014;2696;Foster, Arian;RB;hou;h;was;11;8800
1;2014;2535;Bradshaw, Ahmad;RB;ind;a;den;11;5200
1;2014;2933;Hyde, Carlos;RB;sfo;a;dal;11;6200
1;2014;2553;Peterson, Adrian;RB;min;a;stl;10.3;9300
1;2014;2903;Taylor, Stepfan;RB;ari;h;sdg;10.1;4900
1;2014;2818;Rodgers, Jacquizz;RB;atl;h;nor;10;4700
1;2014;2495;Bush, Reggie;RB;det;h;nyg;9.4;7800
1;2014;2871;Morris, Alfred;RB;was;a;hou;9.1;7700
1;2014;2520;Jackson, Fred;RB;buf;a;chi;8.9;5800
1;2014;2920;Robinson, Khiry;RB;nor;a;atl;8.8;4800
1;2014;2892;Ellington, Andre;RB;ari;h;sdg;8.5;6800
1;2014;2909;Coleman, Derrick;RB;sea;h;gnb;8;4500
1;2014;2500;Williams, DeAngelo;RB;car;a;tam;7.2;5900
1;2014;2911;Cunningham, Benny;RB;stl;h;min;7.1;4600
1;2014;2709;Greene, Shonn;RB;ten;a;kan;7.1;5100
1;2014;2813;Helu, Roy;RB;was;a;hou;7.1;5300
1;2014;2863;Rainey, Bobby;RB;tam;h;car;7;4800
1;2014;2791;Young, Darrel;RB;was;a;hou;6.7;4500
1;2014;2736;Gerhart, Toby;RB;jac;a;phi;6.7;6100
1;2014;2865;Richardson, Trent;RB;ind;a;den;6.6;6400
1;2014;2721;Blount, LeGarrette;RB;nwe;a;mia;6.6;4900
1;2014;2467;Gore, Frank;RB;sfo;a;dal;6.6;7200
1;2014;2549;Kuhn, John;RB;gnb;a;sea;6.2;4500
1;2014;2896;Lacy, Eddie;RB;gnb;a;sea;6;9000
1;2014;2730;Dixon, Anthony;RB;buf;a;chi;6;4500
1;2014;2777;Starks, James;RB;gnb;a;sea;5.8;5300
1;2014;2418;Jackson, Steven;RB;atl;h;nor;5.7;6900
1;2014;2902;Stacy, Zac;RB;stl;h;min;5.6;8300
1;2014;2878;Lane, Jorvorskie;RB;tam;h;car;5.4;0
1;2014;2629;Charles, Jamaal;RB;kan;h;ten;5.4;9800
1;2014;2612;Stewart, Jonathan;RB;car;a;tam;5.2;4600
1;2014;3953;McCluster, Dexter;RB;ten;a;kan;5.1;4700
1;2014;2507;Washington, Leon;RB;ten;a;kan;4.4;4500
1;2014;2930;Freeman, Devonta;RB;atl;h;nor;4.3;5700
1;2014;2779;Tate, Ben;RB;min;a;stl;4.1;7400
1;2014;2829;Ridley, Stevan;RB;nwe;a;mia;3.8;6600
1;2014;2732;Dwyer, Jonathan;RB;ari;h;sdg;3.8;4900
1;2014;2880;Dunbar, Lance;RB;dal;h;sfo;3.6;4700
1;2014;2502;Jones-Drew, Maurice;RB;oak;a;nyj;3.3;6200
1;2014;2924;Anderson, C.J.;RB;den;h;ind;2.7;5200
1;2014;2647;Tolbert, Mike;RB;car;a;tam;2.7;4700
1;2014;2867;Turbin, Robert;RB;sea;h;gnb;2.7;4600
1;2014;2603;McFadden, Darren;RB;oak;a;nyj;2.6;6200
1;2014;2927;Sankey, Bishop;RB;ten;a;kan;2.5;6600
1;2014;2858;Martin, Doug;RB;tam;h;car;2.1;8100
1;2014;2873;Asiata, Matt;RB;min;a;stl;2;4600
1;2014;2928;Hill, Jeremy;RB;cin;a;bal;1.9;5400
1;2014;2874;Bolden, Brandon;RB;nwe;a;mia;1.7;5000
1;2014;2689;Woodhead, Danny;RB;sdg;a;ari;1.6;5700
1;2014;2901;Robinson, Denard;RB;jac;a;phi;1.6;4500
1;2014;2840;Todman, Jordan;RB;jac;a;phi;1.6;4700
1;2014;2882;Hughes, Robert;RB;ari;h;sdg;1.2;4500
1;2014;2665;Reece, Marcel;RB;oak;a;nyj;1.1;4500
1;2014;2891;Davis, Knile;RB;kan;h;ten;1.1;4700
1;2014;2869;Cadet, Travaris;RB;nor;a;atl;1;4500
1;2014;2683;Summers, Frank;RB;buf;a;chi;0.9;4500
1;2014;2934;Williams, Andre;RB;nyg;a;det;0.9;5000
1;2014;2854;Gray, Cyrus;RB;kan;h;ten;0.5;4500
1;2014;2972;Carey, Ka'Deem;RB;chi;h;buf;0.4;5200
1;2014;2819;Powell, Bilal;RB;nyj;h;oak;0.4;4900
1;2014;2907;Riddick, Theo;RB;det;h;nyg;0.4;4500
1;2014;2822;Sherman, Anthony;RB;kan;h;ten;0.4;4500
1;2014;5271;Archer, Dri;RB;pit;h;cle;0.4;4500
1;2014;2881;Grimes, Jonathan;RB;hou;h;was;0.2;4500
1;2014;2935;McKinnon, Jerick;RB;min;a;stl;0.1;4500
1;2014;2825;Develin, James;RB;nwe;a;mia;0;4500
1;2014;2531;Owens, Montell;RB;chi;h;buf;0;4500
1;2014;2855;Herron, Dan;RB;ind;a;den;0;4500
1;2014;2834;Miller, Bruce;RB;sfo;a;dal;0;4500
1;2014;2957;Williams, Damien;RB;mia;h;nwe;0;4500
1;2014;2877;Johnson, Will;RB;pit;h;cle;0;4500
1;2014;2899;Murray, Latavius;RB;oak;a;nyj;0;4600
1;2014;2941;Watts, Trey;RB;stl;h;min;0;4600
1;2014;2654;Ta'ufo'ou, Will;RB;jac;a;phi;0;4500
1;2014;2919;Reynolds, Chase;RB;stl;h;min;0;4500
1;2014;2910;Bohanon, Tommy;RB;nyj;h;oak;0;4500
1;2014;2756;McKnight, Joe;RB;kan;h;ten;0;4500
1;2014;2624;Felton, Jerome;RB;min;a;stl;0;4500
1;2014;2601;Battle, Jackie;RB;ten;a;kan;0;4500
1;2014;2965;Thompson, Juwan;RB;den;h;ind;0;4500
1;2014;2960;Blue, Alfred;RB;hou;h;was;0;4500
1;2014;2857;James, LaMichael;RB;mia;h;nwe;0;4600
1;2014;2900;Randle, Joseph;RB;dal;h;sfo;0;4600
1;2014;2875;Draughn, Shaun;RB;cle;a;pit;0;4500
1;2014;2837;Hynoski, Henry;RB;nyg;a;det;0;4500
1;2014;2805;DiMarco, Patrick;RB;atl;h;nor;0;4500
1;2014;2692;Peerman, Cedric;RB;cin;a;bal;0;4500
1;2014;2824;Clutts, Tyler;RB;dal;h;sfo;0;4500
1;2014;2620;Hillis, Peyton;RB;nyg;a;det;0;4500
1;2014;2908;Juszczyk, Kyle;RB;bal;h;cin;0;4500
1;2014;2913;Olawale, Jamize;RB;oak;a;nyj;0;4500
1;2014;2895;James, Mike;RB;tam;h;car;0;5800
1;2014;2705;Brown, Donald;RB;sdg;a;ari;-0.2;5000
1;2014;2861;Pierce, Bernard;RB;bal;h;cin;-0.3;6100
1;2014;3677;Johnson, Calvin;WR;det;h;nyg;31.9;9200
1;2014;5341;Hurns, Allen;WR;jac;a;phi;25;4500
1;2014;5091;Green, A.J.;WR;cin;a;bal;22.6;8300
1;2014;3328;Smith, Steve;WR;bal;h;cin;21.3;5500
1;2014;5208;Patterson, Cordarrelle;WR;min;a;stl;20.3;6400
1;2014;3474;Brown, Antonio;WR;pit;h;cle;20.1;7700
1;2014;5255;Cooks, Brandin;WR;nor;a;atl;19;5700
1;2014;5257;Benjamin, Kelvin;WR;car;a;tam;18.2;4900
1;2014;5206;Hopkins, DeAndre;WR;hou;h;was;16.9;5900
1;2014;3571;White, Roddy;WR;atl;h;nor;15.7;7000
1;2014;3809;Wallace, Mike;WR;mia;h;nwe;15.6;5900
1;2014;3627;Marshall, Brandon;WR;chi;h;buf;15.1;8100
1;2014;5125;Cobb, Randall;WR;gnb;a;sea;14.8;7600
1;2014;3587;Jennings, Greg;WR;min;a;stl;14.8;5500
1;2014;5148;Floyd, Michael;WR;ari;h;sdg;14.6;6600
1;2014;3826;Edelman, Julian;WR;nwe;a;mia;14.6;6300
1;2014;3303;Wayne, Reggie;WR;ind;a;den;14.3;6200
1;2014;3423;Boldin, Anquan;WR;sfo;a;dal;13.9;6000
1;2014;5162;Wright, Kendall;WR;ten;a;kan;13.6;6200
1;2014;3802;Harvin, Percy;WR;nyj;h;oak;13.5;7000
1;2014;5157;Quick, Brian;WR;stl;h;min;13.4;4500
1;2014;5089;Jones, Julio;WR;atl;h;nor;13.1;8000
1;2014;5169;Streater, Rod;WR;oak;a;nyj;13.1;4700
1;2014;3547;Floyd, Malcom;WR;sdg;a;ari;13;4500
1;2014;5216;Williams, Terrance;WR;dal;h;sfo;13;6100
1;2014;3751;Nelson, Jordy;WR;gnb;a;sea;12.8;7700
1;2014;5215;Wheaton, Markus;WR;pit;h;cle;12.7;4500
1;2014;3995;Tate, Golden;WR;det;h;nyg;12.7;5000
1;2014;5140;Hawkins, Andrew;WR;cle;a;pit;12.7;5200
1;2014;3754;Garcon, Pierre;WR;was;a;hou;12.7;7100
1;2014;3593;Hester, Devin;WR;atl;h;nor;12.4;4500
1;2014;3437;Johnson, Andre;WR;hou;h;was;12.3;7400
1;2014;3867;Nicks, Hakeem;WR;ind;a;den;12.1;5800
1;2014;3778;Avery, Donnie;WR;kan;h;ten;11.9;4500
1;2014;3983;Sanders, Emmanuel;WR;den;h;ind;11.8;6400
1;2014;3602;Colston, Marques;WR;nor;a;atl;11.5;5700
1;2014;3679;Jones, James;WR;oak;a;nyj;10.9;4900
1;2014;5144;Lockette, Ricardo;WR;sea;h;gnb;10.8;4500
1;2014;5173;Benjamin, Travis;WR;cle;a;pit;10;4500
1;2014;3902;Decker, Eric;WR;nyj;h;oak;9.9;6400
1;2014;5264;Brown, John;WR;ari;h;sdg;9.9;4500
1;2014;3731;Douglas, Harry;WR;atl;h;nor;9.9;5400
1;2014;5217;Woods, Robert;WR;buf;a;chi;9.8;5300
1;2014;5153;Jeffery, Alshon;WR;chi;h;buf;9.6;7800
1;2014;3770;Jackson, DeSean;WR;was;a;hou;9.3;6700
1;2014;5256;Lee, Marqise;WR;jac;a;phi;9.2;4800
1;2014;5187;Owusu, Chris;WR;nyj;h;oak;9;4500
1;2014;5159;Sanu, Mohamed;WR;cin;a;bal;8;4900
1;2014;3581;Washington, Nate;WR;ten;a;kan;7.9;4800
1;2014;5207;Hunter, Justin;WR;ten;a;kan;7.8;4800
1;2014;3891;Bryant, Dez;WR;dal;h;sfo;7.5;8500
1;2014;5130;Harris, Dwayne;WR;dal;h;sfo;7;4500
1;2014;3997;Thomas, Demaryius;WR;den;h;ind;6.8;8700
1;2014;5151;Hilton, T.Y.;WR;ind;a;den;6.6;6400
1;2014;5113;Smith, Torrey;WR;bal;h;cin;6.5;6300
1;2014;5111;Kerley, Jeremy;WR;nyj;h;oak;6.3;4500
1;2014;5198;Allen, Keenan;WR;sdg;a;ari;6.2;7200
1;2014;5253;Evans, Mike;WR;tam;h;car;6.2;6000
1;2014;5163;Beasley, Cole;WR;dal;h;sfo;6.2;4500
1;2014;5225;Thompkins, Kenbrell;WR;oak;a;nyj;6.2;4500
1;2014;3550;Jackson, Vincent;WR;tam;h;car;5.6;7300
1;2014;5199;Austin, Tavon;WR;stl;h;min;5.4;5700
1;2014;3497;Cotchery, Jerricho;WR;car;a;tam;5.2;4700
1;2014;5197;Brown, Mike;WR;jac;a;phi;5.1;4800
1;2014;5275;Aiken, Kamar;WR;bal;h;cin;5;4500
1;2014;3898;Cooper, Riley;WR;phi;h;jac;4.9;5900
1;2014;5254;Matthews, Jordan;WR;phi;h;jac;4.7;5200
1;2014;5252;Watkins, Sammy;WR;buf;a;chi;4.6;6300
1;2014;5078;Williams, Mike;WR;buf;a;chi;4.6;5200
1;2014;5204;Givens, Chris;WR;nor;a;atl;4.4;4500
1;2014;3737;Johnson, Steve;WR;sfo;a;dal;4.3;4900
1;2014;5122;Jernigan, Jerrel;WR;nyg;a;det;4.3;4800
1;2014;3670;Ginn Jr., Ted;WR;ari;h;sdg;3.9;4600
