Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
1;2013;1081;Manning, Peyton;QB;den;h;bal;46.28;9300
1;2013;1225;Manning, Eli;QB;nyg;a;dal;31.8;7800
1;2013;1404;Kaepernick, Colin;QB;sfo;h;gnb;30.68;8700
1;2013;1252;Rodgers, Aaron;QB;gnb;a;sfo;25.62;9300
1;2013;1155;Vick, Michael;QB;phi;a;was;25.52;8100
1;2013;1409;Luck, Andrew;QB;ind;h;oak;24.92;8500
1;2013;1234;Schaub, Matt;QB;hou;a;sdg;24.84;6800
1;2013;1231;Rivers, Philip;QB;sdg;h;hou;24.6;6900
1;2013;1407;Pryor, Terrelle;QB;oak;a;ind;21.88;5100
1;2013;1408;Griffin III, Robert;QB;was;h;phi;21.56;8600
1;2013;1340;Stafford, Matthew;QB;det;h;min;21.48;8500
1;2013;1151;Brees, Drew;QB;nor;h;atl;21.48;9600
1;2013;1344;Bradford, Sam;QB;stl;h;ari;21.06;7200
1;2013;1302;Flacco, Joe;QB;bal;a;den;20.48;7200
1;2013;1301;Ryan, Matt;QB;atl;a;nor;20.36;8800
1;2013;1263;Cutler, Jay;QB;chi;h;cin;18.28;7500
1;2013;1207;Palmer, Carson;QB;ari;a;stl;18.08;6300
1;2013;1403;Dalton, Andy;QB;cin;a;chi;17.48;7600
1;2013;1233;Romo, Tony;QB;dal;h;nyg;17.42;8200
1;2013;1254;Smith, Alex;QB;kan;a;jac;17.42;6600
1;2013;1421;Manuel, E.J.;QB;buf;h;nwe;16.3;5300
1;2013;1131;Brady, Tom;QB;nwe;a;buf;16.12;8800
1;2013;1426;Smith, Geno;QB;nyj;h;tam;15.94;5500
1;2013;1412;Wilson, Russell;QB;sea;a;car;15.5;8400
1;2013;1410;Tannehill, Ryan;QB;mia;a;cle;14.18;6500
1;2013;1378;Newton, Cam;QB;car;h;sea;12.8;9200
1;2013;1411;Weeden, Brandon;QB;cle;h;mia;12.56;5200
1;2013;1330;Freeman, Josh;QB;min;a;det;11.4;7500
1;2013;1232;Roethlisberger, Ben;QB;pit;h;ten;10.64;8000
1;2013;1386;Ponder, Christian;QB;min;a;det;9.64;5500
1;2013;1382;Locker, Jake;QB;ten;a;pit;5.3;6200
1;2013;1381;Gabbert, Blaine;QB;jac;h;kan;4.44;5000
1;2013;1309;Henne, Chad;QB;jac;h;kan;1.44;5000
1;2013;1250;Orton, Kyle;QB;dal;h;nyg;0;5000
1;2013;1298;Moore, Matt;QB;mia;a;cle;0;5000
1;2013;1240;Campbell, Jason;QB;cle;h;mia;0;5000
1;2013;1227;McCown, Luke;QB;nor;h;atl;0;5000
1;2013;1334;Daniel, Chase;QB;kan;a;jac;-0.2;5000
1;2013;2553;Peterson, Adrian;RB;min;a;det;31.1;9500
1;2013;2495;Bush, Reggie;RB;det;h;min;27.1;7200
1;2013;2707;McCoy, LeSean;RB;phi;a;was;25.4;8300
1;2013;2719;Bell, Joique;RB;det;h;min;23.7;4600
1;2013;2830;Vereen, Shane;RB;nwe;a;buf;19.4;6400
