Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
17;2013;1151;Brees, Drew;QB;nor;h;tam;38.04;10000
17;2013;1081;Manning, Peyton;QB;den;a;oak;26.64;11200
17;2013;1403;Dalton, Andy;QB;cin;h;bal;23.54;8700
17;2013;1207;Palmer, Carson;QB;ari;h;sfo;23.18;6800
17;2013;1404;Kaepernick, Colin;QB;sfo;a;ari;22.8;7900
17;2013;1250;Orton, Kyle;QB;dal;h;phi;21.12;5000
17;2013;1231;Rivers, Philip;QB;sdg;h;kan;20.36;7900
17;2013;1378;Newton, Cam;QB;car;a;atl;20.16;8500
17;2013;1252;Rodgers, Aaron;QB;gnb;a;chi;19.22;9000
17;2013;1407;Pryor, Terrelle;QB;oak;h;den;19.18;5300
17;2013;1301;Ryan, Matt;QB;atl;h;car;18.1;7200
17;2013;1426;Smith, Geno;QB;nyj;a;mia;18;6600
17;2013;1334;Daniel, Chase;QB;kan;a;sdg;17.9;5000
17;2013;1309;Henne, Chad;QB;jac;a;ind;16.24;6600
17;2013;1263;Cutler, Jay;QB;chi;h;gnb;16.04;7700
17;2013;1413;Foles, Nick;QB;phi;a;dal;16.02;9600
17;2013;1409;Luck, Andrew;QB;ind;h;jac;15.98;8700
17;2013;1420;Glennon, Mike;QB;tam;a;nor;15.76;5700
17;2013;1360;Lewis, Thaddeus;QB;buf;a;nwe;14.28;5100
17;2013;1340;Stafford, Matthew;QB;det;a;min;12.68;8600
17;2013;1240;Campbell, Jason;QB;cle;a;pit;11.2;6700
17;2013;1410;Tannehill, Ryan;QB;mia;h;nyj;11.06;7500
17;2013;1241;Cassel, Matt;QB;min;h;det;11.06;6200
17;2013;1412;Wilson, Russell;QB;sea;h;stl;10.78;7900
17;2013;1232;Roethlisberger, Ben;QB;pit;h;cle;10.06;8700
17;2013;1131;Brady, Tom;QB;nwe;h;buf;9.58;8500
17;2013;1225;Manning, Eli;QB;nyg;h;was;9.08;6100
17;2013;1302;Flacco, Joe;QB;bal;a;cin;8.78;7200
17;2013;1262;Clemens, Kellen;QB;stl;a;sea;8.48;5400
17;2013;1234;Schaub, Matt;QB;hou;a;ten;5.86;6200
17;2013;1242;Fitzpatrick, Ryan;QB;ten;h;hou;5.44;7300
17;2013;1414;Osweiler, Brock;QB;den;a;oak;3.3;5000
17;2013;1415;Cousins, Kirk;QB;was;a;nyg;3.06;6800
17;2013;1060;Hasselbeck, Matt;QB;ind;h;jac;0.9;5000
17;2013;1249;Orlovsky, Dan;QB;tam;a;nor;0;5000
17;2013;1227;McCown, Luke;QB;nor;h;tam;-0.2;5000
17;2013;1332;Painter, Curtis;QB;nyg;h;was;-0.76;5000
17;2013;2613;Forte, Matt;RB;chi;h;gnb;35.7;8500
17;2013;2721;Blount, LeGarrette;RB;nwe;h;buf;30.9;4500
17;2013;2645;Johnson, Chris;RB;ten;h;hou;21.6;7000
17;2013;2891;Davis, Knile;RB;kan;a;sdg;21.6;4500
17;2013;2707;McCoy, LeSean;RB;phi;a;dal;19.9;9400
17;2013;2881;Grimes, Jonathan;RB;hou;a;ten;19.6;4500
17;2013;2520;Jackson, Fred;RB;buf;a;nwe;18.8;6300
17;2013;2552;Lynch, Marshawn;RB;sea;h;stl;16.6;8300
17;2013;2754;Mathews, Ryan;RB;sdg;h;kan;16.5;7400
17;2013;2888;Bell, Le'Veon;RB;pit;h;cle;16.1;7900
17;2013;2775;Spiller, C.J.;RB;buf;a;nwe;15.8;5400
17;2013;2896;Lacy, Eddie;RB;gnb;a;chi;15.1;8400
17;2013;2495;Bush, Reggie;RB;det;a;min;15;7400
17;2013;2706;Moreno, Knowshon;RB;den;a;oak;14.9;7500
17;2013;2563;Snelling, Jason;RB;atl;h;car;12.1;4500
17;2013;2830;Vereen, Shane;RB;nwe;h;buf;12;6200
17;2013;2418;Jackson, Steven;RB;atl;h;car;11.9;6500
17;2013;2865;Richardson, Trent;RB;ind;h;jac;11.2;5200
17;2013;2705;Brown, Donald;RB;ind;h;jac;11;5900
17;2013;2886;Ball, Montee;RB;den;a;oak;10.9;4600
17;2013;2916;Whittaker, Fozzy;RB;cle;a;pit;10.8;4500
17;2013;2608;Rice, Ray;RB;bal;a;cin;10.5;6400
17;2013;2873;Asiata, Matt;RB;min;h;det;10.3;5800
17;2013;2777;Starks, James;RB;gnb;a;chi;10;4600
17;2013;2889;Bernard, Giovani;RB;cin;h;bal;9.8;6100
17;2013;2500;Williams, DeAngelo;RB;car;a;atl;9.8;5800
17;2013;2689;Woodhead, Danny;RB;sdg;h;kan;9.5;5700
17;2013;2831;Murray, DeMarco;RB;dal;h;phi;9.5;8700
17;2013;2502;Jones-Drew, Maurice;RB;jac;a;ind;9.5;6500
17;2013;2819;Powell, Bilal;RB;nyj;a;mia;8.9;4600
17;2013;2598;Thomas, Pierre;RB;nor;h;tam;8.8;5600
17;2013;2859;Miller, Lamar;RB;mia;h;nyj;8.2;5000
17;2013;2904;Baker, Edwin;RB;cle;a;pit;7.8;5400
17;2013;2719;Bell, Joique;RB;det;a;min;7.6;7000
17;2013;2829;Ridley, Stevan;RB;nwe;h;buf;7.4;5800
17;2013;2871;Morris, Alfred;RB;was;a;nyg;7.3;6200
17;2013;2851;Brown, Bryce;RB;phi;a;dal;7.1;4500
17;2013;2620;Hillis, Peyton;RB;nyg;h;was;6.7;4500
17;2013;2650;Green-Ellis, BenJarvus;RB;cin;h;bal;6.6;5300
17;2013;2861;Pierce, Bernard;RB;bal;a;cin;6.6;4500
17;2013;2902;Stacy, Zac;RB;stl;a;sea;5.8;7400
17;2013;2892;Ellington, Andre;RB;ari;h;sfo;5.7;5700
17;2013;2647;Tolbert, Mike;RB;car;a;atl;5.4;4500
17;2013;2551;Leonard, Brian;RB;tam;a;nor;5.1;4500
17;2013;2635;Mendenhall, Rashard;RB;ari;h;sfo;5;5600
17;2013;2920;Robinson, Khiry;RB;nor;h;tam;5;4500
17;2013;2813;Helu, Roy;RB;was;a;nyg;4.8;4500
17;2013;2863;Rainey, Bobby;RB;tam;a;nor;4.1;5500
17;2013;2879;Polk, Chris;RB;phi;a;dal;3.9;4500
17;2013;2484;Sproles, Darren;RB;nor;h;tam;3.9;4500
17;2013;2603;McFadden, Darren;RB;oak;h;den;3.6;5200
17;2013;2922;Hill, Michael;RB;tam;a;nor;3.6;4500
17;2013;2730;Dixon, Anthony;RB;sfo;a;ari;3.2;4500
17;2013;2856;Hillman, Ronnie;RB;den;a;oak;3;4500
17;2013;2617;Choice, Tashard;RB;ind;h;jac;2.8;4500
17;2013;2808;Havili, Stanley;RB;ind;h;jac;2.8;4500
17;2013;2793;Ingram, Mark;RB;nor;h;tam;2.8;4700
17;2013;2658;Jennings, Rashad;RB;oak;h;den;2.7;6700
17;2013;2732;Dwyer, Jonathan;RB;pit;h;cle;2.4;4500
17;2013;2854;Gray, Cyrus;RB;kan;a;sdg;2.4;4500
17;2013;2601;Battle, Jackie;RB;ten;h;hou;2.3;4500
17;2013;2840;Todman, Jordan;RB;jac;a;ind;2;5100
17;2013;2741;Ivory, Chris;RB;nyj;a;mia;1.9;5400
17;2013;2903;Taylor, Stepfan;RB;ari;h;sfo;1.9;4500
17;2013;4554;Ellison, Rhett;RB;min;h;det;1.8;4500
17;2013;2857;James, LaMichael;RB;sfo;a;ari;1.7;4500
17;2013;2665;Reece, Marcel;RB;oak;h;den;1.6;5300
17;2013;2695;Scott, Bernard;RB;bal;a;cin;1.6;4500
17;2013;3818;Thigpen, Marcus;RB;mia;h;nyj;1.6;4500
17;2013;2877;Johnson, Will;RB;pit;h;cle;1.4;4500
17;2013;2467;Gore, Frank;RB;sfo;a;ari;1.4;6300
17;2013;2691;Ogbonnaya, Chris;RB;cle;a;pit;1.4;4500
17;2013;2814;Hunter, Kendall;RB;sfo;a;ari;1.3;4500
17;2013;2867;Turbin, Robert;RB;sea;h;stl;1.3;4500
17;2013;2910;Bohanon, Tommy;RB;nyj;a;mia;1.2;4500
17;2013;2616;Jones, Felix;RB;pit;h;cle;1.1;4500
17;2013;2536;Bush, Michael;RB;chi;h;gnb;1.1;4600
17;2013;2419;Jones, Greg;RB;hou;a;ten;1.1;4500
17;2013;2909;Coleman, Derrick;RB;sea;h;stl;1.1;4500
17;2013;4436;Collins, Jed;RB;nor;h;tam;1;4500
17;2013;2709;Greene, Shonn;RB;ten;h;hou;1;5000
17;2013;4523;Lorig, Erik;RB;tam;a;nor;0.8;4500
17;2013;2805;DiMarco, Patrick;RB;atl;h;car;0.8;4500
17;2013;2911;Cunningham, Benny;RB;stl;a;sea;0.7;4500
17;2013;2825;Develin, James;RB;nwe;h;buf;0.4;4500
17;2013;2791;Young, Darrel;RB;was;a;nyg;0.4;4500
17;2013;2572;McClain, Le'Ron;RB;sdg;h;kan;0.3;4500
17;2013;2549;Kuhn, John;RB;gnb;a;chi;0.1;4500
17;2013;2713;Bell, Kahlil;RB;gnb;a;chi;0;4500
17;2013;2507;Washington, Leon;RB;ten;h;hou;0;4500
17;2013;2773;Smith, Alfonso;RB;ari;h;sfo;0;4500
17;2013;2846;Tanner, Phillip;RB;dal;h;phi;0;4800
17;2013;2683;Summers, Frank;RB;buf;a;nwe;0;4500
17;2013;2901;Robinson, Denard;RB;jac;a;ind;0;4500
17;2013;2657;Larsen, Spencer;RB;tam;a;nor;0;4500
17;2013;2907;Riddick, Theo;RB;det;a;min;0;4500
17;2013;2654;Ta'ufo'ou, Will;RB;jac;a;ind;0;4500
17;2013;2794;Thomas, Daniel;RB;mia;h;nyj;0;4900
17;2013;2883;Stewart, Jeremy;RB;oak;h;den;0;4500
17;2013;2887;Barner, Kenjon;RB;car;a;atl;0;4500
17;2013;2822;Sherman, Anthony;RB;kan;a;sdg;0;4500
17;2013;2874;Bolden, Brandon;RB;nwe;h;buf;0;4500
17;2013;2906;Cox, Michael;RB;nyg;h;was;0;4500
17;2013;3605;Robinson, Michael;RB;sea;h;stl;0;4500
17;2013;2726;Conner, John;RB;nyg;h;was;0;4500
17;2013;2655;Fiammetta, Tony;RB;chi;h;gnb;0;4500
17;2013;2860;Pead, Isaiah;RB;stl;a;sea;0;4500
17;2013;2473;Leach, Vonta;RB;bal;a;cin;0;4500
17;2013;2921;Ford, Michael;RB;chi;h;gnb;0;4500
17;2013;2832;Green, Alex;RB;nyj;a;mia;0;4500
17;2013;2624;Felton, Jerome;RB;min;h;det;0;4500
17;2013;2660;Johnson, Quinn;RB;ten;h;hou;0;4500
17;2013;2900;Randle, Joseph;RB;dal;h;phi;0;4500
17;2013;2905;Banyard, Joe;RB;min;h;det;0;4500
17;2013;2456;Brown, Ronnie;RB;sdg;h;kan;0;4500
17;2013;2692;Peerman, Cedric;RB;cin;h;bal;0;4500
17;2013;2824;Clutts, Tyler;RB;dal;h;phi;0;4500
17;2013;2774;Smith, Antone;RB;atl;h;car;0;4600
17;2013;2908;Juszczyk, Kyle;RB;bal;a;cin;0;4500
17;2013;2913;Olawale, Jamize;RB;oak;h;den;0;4500
17;2013;2698;Brown, Andre;RB;nyg;h;was;-0.9;5500
17;2013;5122;Jernigan, Jerrel;WR;nyg;h;was;29.7;5200
17;2013;3423;Boldin, Anquan;WR;sfo;a;ari;26.5;5700
17;2013;3997;Thomas, Demaryius;WR;den;a;oak;26.3;8700
17;2013;3995;Tate, Golden;WR;sea;h;stl;23.1;4500
17;2013;5208;Patterson, Cordarrelle;WR;min;h;det;21.5;6000
17;2013;3751;Nelson, Jordy;WR;gnb;a;chi;21.1;6000
17;2013;5151;Hilton, T.Y.;WR;ind;h;jac;21;5200
17;2013;3891;Bryant, Dez;WR;dal;h;phi;19.9;8900
17;2013;3571;White, Roddy;WR;atl;h;car;19.1;5900
17;2013;5125;Cobb, Randall;WR;gnb;a;chi;18.5;7300
17;2013;3787;Underwood, Tiquan;WR;tam;a;nor;17.8;4500
17;2013;5235;Taylor, Kerry;WR;jac;a;ind;17.5;4500
17;2013;3627;Marshall, Brandon;WR;chi;h;gnb;16.4;8500
17;2013;3604;Moore, Lance;WR;nor;h;tam;15.3;4500
17;2013;3953;McCluster, Dexter;WR;kan;a;sdg;15.2;4500
17;2013;3978;Roberts, Andre;WR;ari;h;sfo;14.9;4500
17;2013;5168;Jones, Marvin;WR;cin;h;bal;14.6;5100
17;2013;3501;Fitzgerald, Larry;WR;ari;h;sfo;14.3;6300
17;2013;5091;Green, A.J.;WR;cin;h;bal;14.1;9000
17;2013;5212;Stills, Kenny;WR;nor;h;tam;14.1;4500
17;2013;5166;Graham, T.J.;WR;buf;a;nwe;13.7;4500
17;2013;3474;Brown, Antonio;WR;pit;h;cle;13.2;7600
17;2013;3826;Edelman, Julian;WR;nwe;h;buf;13;6700
17;2013;3748;Royal, Eddie;WR;sdg;h;kan;12.6;4500
17;2013;5169;Streater, Rod;WR;oak;h;den;12.5;4700
17;2013;5148;Floyd, Michael;WR;ari;h;sfo;12.1;5500
17;2013;5165;Gordon, Josh;WR;cle;a;pit;11.7;9200
17;2013;5226;Brown, Marlon;WR;bal;a;cin;11.5;5200
17;2013;5198;Allen, Keenan;WR;sdg;h;kan;11.4;6600
17;2013;5234;Whalen, Griff;WR;ind;h;jac;11.2;4900
17;2013;3809;Wallace, Mike;WR;mia;h;nyj;11;6000
17;2013;3902;Decker, Eric;WR;den;a;oak;10.7;8200
17;2013;3681;Meachem, Robert;WR;nor;h;tam;10.6;4500
17;2013;3497;Cotchery, Jerricho;WR;pit;h;cle;10;4500
17;2013;3876;Ogletree, Kevin;WR;det;a;min;10;4500
17;2013;3602;Colston, Marques;WR;nor;h;tam;9.7;6000
17;2013;3731;Douglas, Harry;WR;atl;h;car;9.3;5300
17;2013;3967;Nelson, David;WR;nyj;a;mia;9.1;5100
17;2013;3424;Burleson, Nate;WR;det;a;min;8.9;4500
17;2013;5140;Hawkins, Andrew;WR;cin;h;bal;8.9;4500
17;2013;3754;Garcon, Pierre;WR;was;a;nyg;8.6;8100
17;2013;5154;Jenkins, A.J.;WR;kan;a;sdg;8.3;4500
17;2013;5109;Moore, Denarius;WR;oak;h;den;8.3;4500
17;2013;5211;Sanders, Ace;WR;jac;a;ind;8;4500
17;2013;3437;Johnson, Andre;WR;hou;a;ten;7.9;7300
17;2013;5185;Boykin, Jarrett;WR;gnb;a;chi;7.8;5300
17;2013;5182;Matthews, Rishard;WR;mia;h;nyj;7.8;4500
17;2013;3670;Ginn Jr., Ted;WR;car;a;atl;7.6;4500
17;2013;5153;Jeffery, Alshon;WR;chi;h;gnb;7.5;8000
17;2013;5162;Wright, Kendall;WR;ten;h;hou;7.5;5500
17;2013;4581;Kasa, Nick;WR;oak;h;den;7.4;4500
17;2013;3679;Jones, James;WR;gnb;a;chi;7.1;5300
17;2013;5209;Patton, Quinton;WR;sfo;a;ari;7;4500
17;2013;5230;Hemingway, Junior;WR;kan;a;sdg;7;4500
17;2013;3587;Jennings, Greg;WR;min;h;det;6.9;5800
17;2013;4598;Ford, Chase;WR;min;h;det;6.8;4500
17;2013;3881;Ballard, Jake;WR;ari;h;sfo;6.6;4500
17;2013;5111;Kerley, Jeremy;WR;nyj;a;mia;6.6;4600
17;2013;3611;Avant, Jason;WR;phi;a;dal;6;4700
17;2013;3867;Nicks, Hakeem;WR;nyg;h;was;6;5100
17;2013;5184;Cooper, Josh;WR;cle;a;pit;5.9;4500
17;2013;5197;Brown, Mike;WR;jac;a;ind;5.8;5000
17;2013;3743;Caldwell, Andre;WR;den;a;oak;5.7;4500
17;2013;3586;Holmes, Santonio;WR;nyj;a;mia;5.6;4500
17;2013;5206;Hopkins, DeAndre;WR;hou;a;ten;5.5;4500
17;2013;3550;Jackson, Vincent;WR;tam;a;nor;5.5;7400
17;2013;3898;Cooper, Riley;WR;phi;a;dal;5.4;5500
17;2013;5200;Bailey, Stedman;WR;stl;a;sea;5.3;4900
17;2013;5177;Holmes, Andre;WR;oak;h;den;5.3;5100
17;2013;3581;Washington, Nate;WR;ten;h;hou;4.9;5600
17;2013;3858;Hartline, Brian;WR;mia;h;nyj;4.8;5400
17;2013;5134;Robinson, Aldrick;WR;was;a;nyg;4.6;4500
17;2013;3744;Simpson, Jerome;WR;min;h;det;4.4;4500
17;2013;3872;Crabtree, Michael;WR;sfo;a;ari;4.4;5700
17;2013;5216;Williams, Terrance;WR;dal;h;phi;4.4;4600
17;2013;3770;Jackson, DeSean;WR;phi;a;dal;4.3;7800
17;2013;5113;Smith, Torrey;WR;bal;a;cin;4.2;5800
17;2013;5188;Wright, Jarius;WR;min;h;det;4.1;4800
17;2013;3960;Moore, Marlon;WR;mia;h;nyj;4;4500
17;2013;5074;Williams, Damian;WR;ten;h;hou;3.7;4500
17;2013;3983;Sanders, Emmanuel;WR;pit;h;cle;3.6;5700
17;2013;5217;Woods, Robert;WR;buf;a;nwe;3.2;5000
17;2013;3610;Austin, Miles;WR;dal;h;phi;3.2;4500
17;2013;5210;Rogers, Da'Rick;WR;ind;h;jac;3;4900
17;2013;5205;Goodwin, Marquise;WR;buf;a;nwe;2.7;4500
17;2013;3622;Hixon, Domenik;WR;car;a;atl;2.6;4500
17;2013;5124;Pettis, Austin;WR;stl;a;sea;2.5;4500
17;2013;5251;Thomas, Lamaar;WR;jac;a;ind;2.3;4500
17;2013;4527;Saunders, Weslye;WR;ind;h;jac;2.3;4500
17;2013;3300;Moss, Santana;WR;was;a;nyg;2.3;4500
17;2013;5159;Sanu, Mohamed;WR;cin;h;bal;1.7;4800
17;2013;5174;Brazill, LaVon;WR;ind;h;jac;1.6;4500
17;2013;3678;Jones, Jacoby;WR;bal;a;cin;1.6;5300
17;2013;5238;Wilson, Marquess;WR;chi;h;gnb;1.5;4500
17;2013;5090;Little, Greg;WR;cle;a;pit;1.4;4500
17;2013;3851;Amendola, Danny;WR;nwe;h;buf;1.4;6600
17;2013;3820;Murphy, Louis;WR;nyg;h;was;1.3;4500
17;2013;5144;Lockette, Ricardo;WR;sea;h;stl;1.3;4500
17;2013;5163;Beasley, Cole;WR;dal;h;phi;1.2;4500
17;2013;5137;Sanzenbacher, Dane;WR;cin;h;bal;1.2;4500
17;2013;5202;Dobson, Aaron;WR;nwe;h;buf;1.1;5000
17;2013;5106;Salas, Greg;WR;nyj;a;mia;1.1;4500
17;2013;5187;Owusu, Chris;WR;tam;a;nor;1;4500
17;2013;5240;Johnson, Darius;WR;atl;h;car;0.9;4500
17;2013;5155;Martin, Keshawn;WR;hou;a;ten;0.7;4700
17;2013;4556;Noble, Danny;WR;jac;a;ind;0.6;4500
17;2013;5105;Doss, Tandon;WR;bal;a;cin;0.5;4500
17;2013;5123;Brown, Vincent;WR;sdg;h;kan;0;4500
17;2013;5157;Quick, Brian;WR;stl;a;sea;0;4500
17;2013;5120;Davis, Drew;WR;atl;h;car;0;4600
17;2013;5228;Page, Eric;WR;tam;a;nor;0;4500
17;2013;5167;Hogan, Chris;WR;buf;a;nwe;0;4500
17;2013;3848;Heyward-Bey, Darrius;WR;ind;h;jac;0;4500
17;2013;3906;Easley, Marcus;WR;buf;a;nwe;0;4500
17;2013;5239;Golden, Brittan;WR;ari;h;sfo;0;4500
17;2013;3935;Holliday, Trindon;WR;den;a;oak;0;4500
17;2013;5194;Ross, Jeremy;WR;det;a;min;0;4500
17;2013;3732;Weems, Eric;WR;chi;h;gnb;0;4500
17;2013;5215;Wheaton, Markus;WR;pit;h;cle;0;4500
17;2013;5186;Kearse, Jermaine;WR;sea;h;stl;0;4500
17;2013;4547;Adams, Kyle;WR;tam;a;nor;0;4500
17;2013;3877;Ajirotutu, Seyi;WR;sdg;h;kan;0;4500
17;2013;3946;LaFell, Brandon;WR;car;a;atl;0;4500
17;2013;4560;Thompson, Taylor;WR;ten;h;hou;0;4500
17;2013;3778;Avery, Donnie;WR;kan;a;sdg;0;4500
17;2013;3860;Tate, Brandon;WR;cin;h;bal;0;4500
17;2013;5250;Veltung, Justin;WR;stl;a;sea;0;4500
17;2013;1261;Smith, Brad;WR;phi;a;dal;0;4500
17;2013;5136;Baldwin, Doug;WR;sea;h;stl;0;4500
17;2013;5232;Moye, Derek;WR;pit;h;cle;0;4500
17;2013;5249;Hakim, Saalim;WR;nyj;a;mia;0;4500
17;2013;5244;Tyms, Brian;WR;cle;a;pit;0;4500
17;2013;5108;Durham, Kris;WR;det;a;min;0;4500
17;2013;5152;Jean, Lestar;WR;hou;a;ten;0;4500
17;2013;5071;Webb, Joe;WR;min;h;det;0;4500
17;2013;5247;Williams, Nick;WR;was;a;nyg;0;4500
17;2013;5229;Brown, Jaron;WR;ari;h;sfo;0;4500
17;2013;3593;Hester, Devin;WR;chi;h;gnb;0;4500
17;2013;5220;Cone, Kevin;WR;atl;h;car;0;4500
17;2013;5158;Randle, Rueben;WR;nyg;h;was;0;4500
17;2013;5207;Hunter, Justin;WR;ten;h;hou;0;4500
17;2013;5191;Bellamy, Josh;WR;was;a;nyg;0;4500
17;2013;4512;Palmer, Michael;WR;pit;h;cle;0;4500
17;2013;5225;Thompkins, Kenbrell;WR;nwe;h;buf;0;4500
17;2013;5130;Harris, Dwayne;WR;dal;h;phi;0;4500
17;2013;5170;Givens, Chris;WR;stl;a;sea;-0.4;4500
17;2013;4262;Witten, Jason;TE;dal;h;phi;19.5;5800
17;2013;4492;Graham, Jimmy;TE;nor;h;tam;15.6;7600
17;2013;4363;Celek, Brent;TE;phi;a;dal;14.6;4500
17;2013;4591;Wright, Tim;TE;tam;a;nor;14.5;4800
17;2013;4368;Olsen, Greg;TE;car;a;atl;13.2;5400
17;2013;4323;Davis, Vernon;TE;sfo;a;ari;12;6400
17;2013;4437;Cook, Jared;TE;stl;a;sea;11.5;4500
17;2013;4270;Gates, Antonio;TE;sdg;h;kan;11.1;4500
17;2013;4516;Pitta, Dennis;TE;bal;a;cin;10.3;5700
17;2013;4539;Housler, Rob;TE;ari;h;sfo;10.3;4500
17;2013;4533;Cameron, Jordan;TE;cle;a;pit;9.4;5900
17;2013;4562;Green, Ladarius;TE;sdg;h;kan;8.7;4500
17;2013;4324;Lewis, Marcedes;TE;jac;a;ind;8.5;5300
17;2013;4570;Escobar, Gavin;TE;dal;h;phi;8.2;4500
17;2013;4538;Kendricks, Lance;TE;stl;a;sea;7.9;4500
17;2013;4051;Gonzalez, Tony;TE;atl;h;car;7.6;5600
17;2013;4376;Chandler, Scott;TE;buf;a;nwe;7;4500
17;2013;4592;Griffin, Ryan;TE;hou;a;ten;6.4;4500
17;2013;4543;Clay, Charles;TE;mia;h;nyj;6.3;5300
