Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
12;2013;1231;Rivers, Philip;QB;sdg;a;kan;27.78;7900
12;2013;1131;Brady, Tom;QB;nwe;h;den;23.76;8900
12;2013;1404;Kaepernick, Colin;QB;sfo;a;was;23.4;7900
12;2013;1242;Fitzpatrick, Ryan;QB;ten;a;oak;23.4;6900
12;2013;1254;Smith, Alex;QB;kan;h;sdg;22.46;6200
12;2013;1378;Newton, Cam;QB;car;a;mia;21.06;8300
12;2013;1207;Palmer, Carson;QB;ari;h;ind;20.56;7000
12;2013;1340;Stafford, Matthew;QB;det;h;tam;20.48;9800
12;2013;1175;McCown, Josh;QB;chi;a;stl;19.48;5500
12;2013;1410;Tannehill, Ryan;QB;mia;h;car;19;7100
12;2013;1151;Brees, Drew;QB;nor;a;atl;18.52;11000
12;2013;1233;Romo, Tony;QB;dal;a;nyg;16.46;9100
12;2013;1232;Roethlisberger, Ben;QB;pit;a;cle;16.38;7900
12;2013;1420;Glennon, Mike;QB;tam;a;det;16.18;7100
12;2013;1307;Flynn, Matt;QB;gnb;h;min;15.12;5000
12;2013;1225;Manning, Eli;QB;nyg;h;dal;14.96;6300
12;2013;1409;Luck, Andrew;QB;ind;a;ari;14.62;8800
12;2013;1437;McGloin, Matt;QB;oak;h;ten;14;6200
12;2013;1302;Flacco, Joe;QB;bal;h;nyj;13.92;6800
12;2013;1081;Manning, Peyton;QB;den;a;nwe;13;11000
12;2013;1386;Ponder, Christian;QB;min;a;gnb;12.82;5900
12;2013;1301;Ryan, Matt;QB;atl;h;nor;12.68;7800
12;2013;1405;Tolzien, Scott;QB;gnb;h;min;12.42;6000
12;2013;1262;Clemens, Kellen;QB;stl;h;chi;12.38;6000
12;2013;1411;Weeden, Brandon;QB;cle;h;pit;11.56;5000
12;2013;1309;Henne, Chad;QB;jac;a;hou;9.86;5300
12;2013;1408;Griffin III, Robert;QB;was;h;sfo;6.28;8700
12;2013;1435;Keenum, Case;QB;hou;h;jac;5.96;6100
12;2013;1426;Smith, Geno;QB;nyj;a;bal;5.48;5600
12;2013;1240;Campbell, Jason;QB;cle;h;pit;2.86;6600
12;2013;1400;Taylor, Tyrod;QB;bal;h;nyj;1.8;5000
12;2013;1414;Osweiler, Brock;QB;den;a;nwe;0;5000
12;2013;1227;McCown, Luke;QB;nor;a;atl;0;5000
12;2013;2629;Charles, Jamaal;RB;kan;h;sdg;29.7;8800
