Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
6;2014;1378;Newton, Cam;QB;car;a;cin;35.06;7900
6;2014;1302;Flacco, Joe;QB;bal;a;tam;32.24;7000
6;2014;1131;Brady, Tom;QB;nwe;a;buf;30.74;7900
6;2014;1404;Kaepernick, Colin;QB;sfo;a;stl;29.42;7800
6;2014;1441;Carr, Derek;QB;oak;h;sdg;26.48;5700
6;2014;1252;Rodgers, Aaron;QB;gnb;a;mia;25.96;9600
6;2014;1231;Rivers, Philip;QB;sdg;a;oak;25.82;9100
6;2014;1409;Luck, Andrew;QB;ind;a;hou;25.6;9900
6;2014;1263;Cutler, Jay;QB;chi;a;atl;22.34;8500
6;2014;1081;Manning, Peyton;QB;den;a;nyj;21.48;10200
6;2014;1403;Dalton, Andy;QB;cin;h;car;21.42;7700
6;2014;1410;Tannehill, Ryan;QB;mia;h;gnb;20.66;7000
6;2014;1442;Bortles, Blake;QB;jac;a;ten;20.24;6400
6;2014;1420;Glennon, Mike;QB;tam;h;bal;19.56;6400
6;2014;1415;Cousins, Kirk;QB;was;a;ari;19.16;7600
6;2014;1250;Orton, Kyle;QB;buf;h;nwe;18.96;6500
6;2014;1207;Palmer, Carson;QB;ari;h;was;17.7;6900
6;2014;1413;Foles, Nick;QB;phi;h;nyg;16.42;8100
6;2014;1233;Romo, Tony;QB;dal;a;sea;15.9;7400
6;2014;1426;Smith, Geno;QB;nyj;h;den;15.7;6900
6;2014;1301;Ryan, Matt;QB;atl;h;chi;13.74;8700
6;2014;1232;Roethlisberger, Ben;QB;pit;a;cle;12.82;7600
6;2014;1336;Hoyer, Brian;QB;cle;h;pit;12.68;6500
6;2014;1445;Davis, Austin;QB;stl;h;sfo;12.34;7800
6;2014;1340;Stafford, Matthew;QB;det;a;min;11.5;8600
6;2014;1412;Wilson, Russell;QB;sea;h;dal;11.24;8400
6;2014;1242;Fitzpatrick, Ryan;QB;hou;h;ind;10.98;6400
6;2014;1272;Whitehurst, Charlie;QB;ten;h;jac;9.42;6700
6;2014;1225;Manning, Eli;QB;nyg;a;phi;6.34;7200
