Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
3;2011;1151;Brees, Drew;QB;nor;h;hou;28.7;9600
3;2011;1302;Flacco, Joe;QB;bal;a;stl;28.26;7800
3;2011;1131;Brady, Tom;QB;nwe;a;buf;27.98;9200
3;2011;1339;Sanchez, Mark;QB;nyj;a;oak;27.96;7400
3;2011;1234;Schaub, Matt;QB;hou;a;nor;25.92;8000
3;2011;1225;Manning, Eli;QB;nyg;a;phi;25.86;8200
3;2011;1252;Rodgers, Aaron;QB;gnb;a;chi;23.18;9900
3;2011;1340;Stafford, Matthew;QB;det;a;min;23.02;8400
3;2011;1242;Fitzpatrick, Ryan;QB;buf;h;nwe;20.16;8300
3;2011;1263;Cutler, Jay;QB;chi;h;gnb;19.18;7700
3;2011;1060;Hasselbeck, Matt;QB;ten;h;den;18.24;7000
3;2011;1309;Henne, Chad;QB;mia;a;cle;15.8;7000
3;2011;1361;McCoy, Colt;QB;cle;h;mia;15.2;7100
3;2011;1232;Roethlisberger, Ben;QB;pit;a;ind;15.06;8400
3;2011;1378;Newton, Cam;QB;car;h;jac;15.02;8000
3;2011;1330;Freeman, Josh;QB;tam;h;atl;14.7;7800
3;2011;1241;Cassel, Matt;QB;kan;a;sdg;14.14;7300
3;2011;1260;Jackson, Tarvaris;QB;sea;h;ari;13.84;5600
3;2011;1282;Kolb, Kevin;QB;ari;a;sea;13.68;7700
3;2011;1086;McNabb, Donovan;QB;min;h;det;13.54;7000
3;2011;1301;Ryan, Matt;QB;atl;a;tam;13.4;8300
3;2011;1250;Orton, Kyle;QB;kan;a;sdg;12.92;7700
3;2011;1202;Grossman, Rex;QB;was;a;dal;11.6;7000
3;2011;1344;Bradford, Sam;QB;stl;h;bal;9.84;7400
3;2011;1155;Vick, Michael;QB;phi;h;nyg;9.14;9500
3;2011;1233;Romo, Tony;QB;dal;h;was;9.1;8800
3;2011;1381;Gabbert, Blaine;QB;jac;a;car;8.76;5500
3;2011;1231;Rivers, Philip;QB;sdg;h;kan;8.44;8900
3;2011;1254;Smith, Alex;QB;sfo;a;cin;8.04;7400
3;2011;1240;Campbell, Jason;QB;oak;h;nyj;7.24;7400
3;2011;1403;Dalton, Andy;QB;cin;h;sfo;4.78;5900
3;2011;1020;Collins, Kerry;QB;ind;h;pit;3.72;6000
3;2011;1332;Painter, Curtis;QB;ind;h;pit;0.4;5100
3;2011;1015;Brunell, Mark;QB;nyj;a;oak;0;5100
3;2011;5071;Webb, Joe;QB;min;h;det;0;5100
3;2011;1334;Daniel, Chase;QB;nor;h;hou;0;5100
3;2011;1358;Kafka, Mike;QB;phi;h;nyg;-0.6;5600
3;2011;2603;McFadden, Darren;RB;oak;h;nyj;31.3;9600
3;2011;2754;Mathews, Ryan;RB;sdg;h;kan;28.9;7700
3;2011;2520;Jackson, Fred;RB;buf;h;nwe;24.6;6600
3;2011;2270;Tomlinson, LaDainian;RB;nyj;a;oak;23.9;6000
3;2011;2535;Bradshaw, Ahmad;RB;nyg;a;phi;22.4;7700
3;2011;4439;Casey, James;RB;hou;a;nor;22.2;4500
3;2011;2707;McCoy, LeSean;RB;phi;h;nyg;21.6;9600
3;2011;2794;Thomas, Daniel;RB;mia;a;cle;19.7;6100
3;2011;2608;Rice, Ray;RB;bal;a;stl;18.9;9200
3;2011;2502;Jones-Drew, Maurice;RB;jac;a;car;18.2;8900
3;2011;2553;Peterson, Adrian;RB;min;h;det;17.7;9600
3;2011;2484;Sproles, Darren;RB;nor;h;hou;17.5;5900
3;2011;2616;Jones, Felix;RB;dal;h;was;17;7000
3;2011;2604;Hightower, Tim;RB;was;a;dal;16.5;6900
3;2011;2496;Addai, Joseph;RB;ind;h;pit;15.3;6100
3;2011;2472;Jacobs, Brandon;RB;nyg;a;phi;15.1;6200
3;2011;2709;Greene, Shonn;RB;nyj;a;oak;14.1;6500
