Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
6;2011;1252;Rodgers, Aaron;QB;gnb;h;stl;24.9;9800
6;2011;1340;Stafford, Matthew;QB;det;h;sfo;20.62;8900
6;2011;1330;Freeman, Josh;QB;tam;h;nor;20.42;7300
6;2011;1131;Brady, Tom;QB;nwe;h;dal;19.26;9600
6;2011;1339;Sanchez, Mark;QB;nyj;h;mia;18.54;7300
6;2011;1151;Brees, Drew;QB;nor;a;tam;18.42;9700
6;2011;1155;Vick, Michael;QB;phi;a;was;17.88;9700
6;2011;1378;Newton, Cam;QB;car;a;atl;17.48;8900
6;2011;1233;Romo, Tony;QB;dal;a;nwe;17.38;8800
6;2011;1301;Ryan, Matt;QB;atl;h;car;17.22;8100
6;2011;1263;Cutler, Jay;QB;chi;h;min;16.68;7600
6;2011;1242;Fitzpatrick, Ryan;QB;buf;a;nyg;16.56;8000
6;2011;1361;McCoy, Colt;QB;cle;a;oak;16.2;7600
6;2011;1302;Flacco, Joe;QB;bal;h;hou;15.1;8000
6;2011;1403;Dalton, Andy;QB;cin;h;ind;14.46;6400
6;2011;1234;Schaub, Matt;QB;hou;a;bal;13.1;8200
6;2011;1232;Roethlisberger, Ben;QB;pit;h;jac;12.9;8500
6;2011;1280;Beck, John;QB;was;h;phi;12.08;5100
6;2011;1332;Painter, Curtis;QB;ind;a;cin;11.92;6600
6;2011;1344;Bradford, Sam;QB;stl;a;gnb;11.84;7200
6;2011;1225;Manning, Eli;QB;nyg;h;buf;11.58;8500
6;2011;1381;Gabbert, Blaine;QB;jac;a;pit;9.96;5900
6;2011;1086;McNabb, Donovan;QB;min;a;chi;7.08;7300
6;2011;1254;Smith, Alex;QB;sfo;a;det;6.5;7600
6;2011;1298;Moore, Matt;QB;mia;a;nyj;6.16;5600
6;2011;1199;Boller, Kyle;QB;oak;h;cle;4.9;5100
6;2011;1386;Ponder, Christian;QB;min;a;chi;4.76;5100
6;2011;1202;Grossman, Rex;QB;was;h;phi;1.72;6800
6;2011;1240;Campbell, Jason;QB;oak;h;cle;1.68;7400
6;2011;5071;Webb, Joe;QB;min;a;chi;0.1;5100
6;2011;1015;Brunell, Mark;QB;nyj;h;mia;0;5100
6;2011;1335;Hanie, Caleb;QB;chi;h;min;0;5100
6;2011;1334;Daniel, Chase;QB;nor;a;tam;0;5100
6;2011;1257;Young, Vince;QB;phi;a;was;-0.8;6000
6;2011;2535;Bradshaw, Ahmad;RB;nyg;h;buf;32;8200
6;2011;2434;Turner, Michael;RB;atl;h;car;27.2;8400
6;2011;2520;Jackson, Fred;RB;buf;a;nyg;25.3;8500
6;2011;2467;Gore, Frank;RB;sfo;a;det;21.6;8600
6;2011;2707;McCoy, LeSean;RB;phi;a;was;20.9;9700
6;2011;2635;Mendenhall, Rashard;RB;pit;h;jac;20.6;7200
6;2011;2608;Rice, Ray;RB;bal;h;hou;18.6;9600
6;2011;2603;McFadden, Darren;RB;oak;h;cle;15.8;9400
6;2011;2613;Forte, Matt;RB;chi;h;min;15.3;9300
6;2011;2612;Stewart, Jonathan;RB;car;a;atl;14.7;6400
6;2011;2418;Jackson, Steven;RB;stl;a;gnb;14.5;7700
6;2011;2445;Graham, Earnest;RB;tam;h;nor;14.1;5200
6;2011;2720;Best, Jahvid;RB;det;h;sfo;14;7700
6;2011;2696;Foster, Arian;RB;hou;a;bal;13.1;9600
6;2011;2454;Benson, Cedric;RB;cin;h;ind;12.7;6800
6;2011;2705;Brown, Donald;RB;ind;a;cin;12.1;4900
6;2011;2502;Jones-Drew, Maurice;RB;jac;a;pit;11.4;9200
6;2011;2553;Peterson, Adrian;RB;min;a;chi;10.4;9700
