Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
15;2011;1151;Brees, Drew;QB;nor;a;min;34.88;9500
15;2011;1340;Stafford, Matthew;QB;det;a;oak;30.14;8400
15;2011;1373;Tebow, Tim;QB;den;h;nwe;27.06;8100
15;2011;1131;Brady, Tom;QB;nwe;a;den;27;9500
15;2011;1233;Romo, Tony;QB;dal;a;tam;25.86;8400
15;2011;1155;Vick, Michael;QB;phi;h;nyj;23.16;8400
15;2011;1252;Rodgers, Aaron;QB;gnb;a;kan;22.6;9800
15;2011;1301;Ryan, Matt;QB;atl;h;jac;20.96;8300
15;2011;1378;Newton, Cam;QB;car;a;hou;19.46;9500
15;2011;1207;Palmer, Carson;QB;oak;h;det;18.68;6900
15;2011;1242;Fitzpatrick, Ryan;QB;buf;h;mia;18.34;6700
15;2011;1302;Flacco, Joe;QB;bal;a;sdg;16.24;6900
15;2011;1369;Skelton, John;QB;ari;h;cle;16.22;6000
15;2011;1386;Ponder, Christian;QB;min;h;nor;15.2;6900
15;2011;1231;Rivers, Philip;QB;sdg;h;bal;14.8;8100
15;2011;1298;Moore, Matt;QB;mia;a;buf;14.68;6400
15;2011;1262;Clemens, Kellen;QB;stl;h;cin;14.06;5000
15;2011;1330;Freeman, Josh;QB;tam;h;dal;13.62;6700
15;2011;1211;Wallace, Seneca;QB;cle;a;ari;13.14;5000
15;2011;1254;Smith, Alex;QB;sfo;h;pit;12.68;6600
15;2011;1250;Orton, Kyle;QB;kan;h;gnb;11.46;5300
15;2011;1260;Jackson, Tarvaris;QB;sea;a;chi;10.88;5700
15;2011;1339;Sanchez, Mark;QB;nyj;a;phi;10.3;7200
15;2011;1202;Grossman, Rex;QB;was;a;nyg;9.3;6400
15;2011;1382;Locker, Jake;QB;ten;a;ind;9.22;5800
15;2011;1335;Hanie, Caleb;QB;chi;h;sea;8.84;5500
15;2011;1232;Roethlisberger, Ben;QB;pit;a;sfo;8.2;7800
15;2011;1399;Yates, T.J.;QB;hou;h;car;7.98;6100
15;2011;1225;Manning, Eli;QB;nyg;h;was;7.28;8000
15;2011;1249;Orlovsky, Dan;QB;ind;h;ten;6.98;5700
15;2011;1060;Hasselbeck, Matt;QB;ten;a;ind;6.82;6000
15;2011;1403;Dalton, Andy;QB;cin;a;stl;5.96;6700
15;2011;1381;Gabbert, Blaine;QB;jac;a;atl;5.14;5500
15;2011;1140;Redman, Chris;QB;atl;h;jac;2.04;5000
15;2011;1015;Brunell, Mark;QB;nyj;a;phi;1.08;5000
15;2011;1400;Taylor, Tyrod;QB;bal;a;sdg;0.72;5000
15;2011;1257;Young, Vince;QB;phi;h;nyj;0;6100
15;2011;5071;Webb, Joe;QB;min;h;nor;0;5800
15;2011;1334;Daniel, Chase;QB;nor;a;min;0;5000
15;2011;1358;Kafka, Mike;QB;phi;h;nyj;-0.2;5000
15;2011;1175;McCown, Josh;QB;chi;h;sea;-0.52;5000
15;2011;2775;Spiller, C.J.;RB;buf;h;mia;33.2;6100
15;2011;2707;McCoy, LeSean;RB;phi;h;nyj;26.7;9700
15;2011;2495;Bush, Reggie;RB;mia;a;buf;25.4;7400
15;2011;2754;Mathews, Ryan;RB;sdg;h;bal;23.9;8000
15;2011;2696;Foster, Arian;RB;hou;h;car;23.2;9700
15;2011;2705;Brown, Donald;RB;ind;h;ten;22.8;5800
15;2011;2736;Gerhart, Toby;RB;min;h;nor;19.8;5800
15;2011;2484;Sproles, Darren;RB;nor;a;min;19.7;7200
15;2011;2713;Bell, Kahlil;RB;chi;h;sea;19.3;4900
15;2011;2418;Jackson, Steven;RB;stl;h;cin;18.8;7700
15;2011;2552;Lynch, Marshawn;RB;sea;a;chi;17.7;8300
15;2011;2536;Bush, Michael;RB;oak;h;det;17.4;7800
15;2011;2620;Hillis, Peyton;RB;cle;a;ari;17.3;7200
15;2011;2608;Rice, Ray;RB;bal;a;sdg;15.7;9800
15;2011;2598;Thomas, Pierre;RB;nor;a;min;15.5;6100
15;2011;2669;Ball, Lance;RB;den;h;nwe;15.5;5200
15;2011;2535;Bradshaw, Ahmad;RB;nyg;h;was;15.4;7400
15;2011;2454;Benson, Cedric;RB;cin;a;stl;15.2;6900
15;2011;2645;Johnson, Chris;RB;ten;a;ind;14.9;8600
15;2011;2616;Jones, Felix;RB;dal;a;tam;14.6;6400
15;2011;2434;Turner, Michael;RB;atl;h;jac;13.5;7500
15;2011;2647;Tolbert, Mike;RB;sdg;h;bal;12.8;6400
15;2011;2704;Wells, Beanie;RB;ari;h;cle;12.6;6900
15;2011;2467;Gore, Frank;RB;sfo;h;pit;12.5;7700
15;2011;2500;Williams, DeAngelo;RB;car;a;hou;12.1;6300
15;2011;2650;Green-Ellis, BenJarvus;RB;nwe;a;den;11.9;6000
15;2011;2502;Jones-Drew, Maurice;RB;jac;a;atl;11.8;9500
15;2011;2689;Woodhead, Danny;RB;nwe;a;den;11.7;4900
15;2011;2580;Grant, Ryan;RB;gnb;a;kan;11.6;5800
15;2011;2601;Battle, Jackie;RB;kan;h;gnb;10.9;5000
15;2011;2635;Mendenhall, Rashard;RB;pit;a;sfo;10.4;7200
15;2011;2813;Helu, Roy;RB;was;a;nyg;8.4;7200
15;2011;2228;Jones, Thomas;RB;kan;h;gnb;8;4900
15;2011;2695;Scott, Bernard;RB;cin;a;stl;8;4900
15;2011;2791;Young, Darrel;RB;was;a;nyg;7.9;4500
15;2011;2709;Greene, Shonn;RB;nyj;a;phi;7.8;7500
15;2011;2649;Lumpkin, Kregg;RB;tam;h;dal;7.5;4900
15;2011;2741;Ivory, Chris;RB;nor;a;min;7.4;4900
15;2011;2617;Choice, Tashard;RB;buf;h;mia;7.1;4500
15;2011;2373;McGahee, Willis;RB;den;h;nwe;7;6300
15;2011;2563;Snelling, Jason;RB;atl;h;jac;6.8;4900
15;2011;3605;Robinson, Michael;RB;sea;a;chi;6.7;4500
