Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
2;2014;1252;Rodgers, Aaron;QB;gnb;h;nyj;28.64;9100
2;2014;1263;Cutler, Jay;QB;chi;a;sfo;25.54;8100
2;2014;1231;Rivers, Philip;QB;sdg;h;sea;25.06;8100
2;2014;1081;Manning, Peyton;QB;den;h;kan;21.58;10200
2;2014;1409;Luck, Andrew;QB;ind;h;phi;19.88;9200
2;2014;1378;Newton, Cam;QB;car;h;det;19.14;8600
2;2014;1175;McCown, Josh;QB;tam;h;stl;18.76;6300
2;2014;1426;Smith, Geno;QB;nyj;a;gnb;18.64;6900
2;2014;1413;Foles, Nick;QB;phi;a;ind;18.44;8300
2;2014;1441;Carr, Derek;QB;oak;h;hou;18.32;5500
2;2014;1415;Cousins, Kirk;QB;was;h;jac;17.9;5000
2;2014;1412;Wilson, Russell;QB;sea;a;sdg;17.88;8200
2;2014;1225;Manning, Eli;QB;nyg;h;ari;17.58;6600
2;2014;1151;Brees, Drew;QB;nor;a;cle;16.78;9400
2;2014;1404;Kaepernick, Colin;QB;sfo;h;chi;15.52;8400
2;2014;1340;Stafford, Matthew;QB;det;a;car;15.44;9300
2;2014;1302;Flacco, Joe;QB;bal;h;pit;14.94;6800
2;2014;1403;Dalton, Andy;QB;cin;h;atl;14.68;7800
2;2014;1254;Smith, Alex;QB;kan;a;den;14.4;6700
2;2014;1410;Tannehill, Ryan;QB;mia;a;buf;13.74;6500
2;2014;1242;Fitzpatrick, Ryan;QB;hou;a;oak;13.56;6000
2;2014;1301;Ryan, Matt;QB;atl;a;cin;13.04;8900
2;2014;1421;Manuel, E.J.;QB;buf;h;mia;12.68;6800
2;2014;1309;Henne, Chad;QB;jac;a;was;12.42;6000
2;2014;1382;Locker, Jake;QB;ten;h;dal;12.26;7400
2;2014;1336;Hoyer, Brian;QB;cle;h;nor;12.16;5800
2;2014;1233;Romo, Tony;QB;dal;a;ten;11.04;7800
2;2014;1131;Brady, Tom;QB;nwe;a;min;9.96;8500
2;2014;1241;Cassel, Matt;QB;min;h;nwe;9.68;6400
2;2014;1445;Davis, Austin;QB;stl;a;tam;9.4;4700
2;2014;1232;Roethlisberger, Ben;QB;pit;a;bal;7.68;7800
2;2014;1290;Stanton, Drew;QB;ari;a;nyg;6.48;5000
2;2014;1408;Griffin III, Robert;QB;was;h;jac;3.72;7800
2;2014;1438;Manziel, Johnny;QB;cle;h;nor;0;6600
2;2014;1227;McCown, Luke;QB;nor;a;cle;0;5000
2;2014;1155;Vick, Michael;QB;nyj;a;gnb;0;6700
2;2014;1401;Mallett, Ryan;QB;hou;a;oak;-0.1;5000
2;2014;2484;Sproles, Darren;RB;phi;a;ind;27.3;6000
2;2014;2891;Davis, Knile;RB;kan;a;den;25.5;4500
2;2014;2889;Bernard, Giovani;RB;cin;h;atl;25.4;7800
2;2014;2535;Bradshaw, Ahmad;RB;ind;h;phi;24.1;5200
2;2014;2696;Foster, Arian;RB;hou;a;oak;22;8300
2;2014;2831;Murray, DeMarco;RB;dal;a;ten;21.8;8500
2;2014;2871;Morris, Alfred;RB;was;h;jac;20.5;7200
2;2014;2863;Rainey, Bobby;RB;tam;h;stl;18.9;5000
2;2014;2707;McCoy, LeSean;RB;phi;a;ind;18.2;9200
2;2014;2793;Ingram, Mark;RB;nor;a;cle;17.9;5900
2;2014;2873;Asiata, Matt;RB;min;h;nwe;16.9;4500
2;2014;2928;Hill, Jeremy;RB;cin;h;atl;16.6;4900
2;2014;2829;Ridley, Stevan;RB;nwe;a;min;16.1;6000
2;2014;2929;West, Terrance;RB;cle;h;nor;16;5300
2;2014;2467;Gore, Frank;RB;sfo;h;chi;14.5;7400
2;2014;2552;Lynch, Marshawn;RB;sea;a;sdg;14.3;9000
2;2014;2775;Spiller, C.J.;RB;buf;h;mia;14.3;7500
2;2014;2603;McFadden, Darren;RB;oak;h;hou;13.8;5600
2;2014;2888;Bell, Le'Veon;RB;pit;a;bal;13.2;8900
2;2014;2612;Stewart, Jonathan;RB;car;h;det;12.4;4600
2;2014;2867;Turbin, Robert;RB;sea;a;sdg;11.2;4500
2;2014;2741;Ivory, Chris;RB;nyj;a;gnb;11.1;5700
2;2014;2902;Stacy, Zac;RB;stl;a;tam;11.1;7700
2;2014;2658;Jennings, Rashad;RB;nyg;h;ari;10.9;6700
2;2014;2861;Pierce, Bernard;RB;bal;h;pit;10.8;5300
2;2014;2719;Bell, Joique;RB;det;a;car;10.7;6800
2;2014;2892;Ellington, Andre;RB;ari;a;nyg;10.6;6800
2;2014;2886;Ball, Montee;RB;den;h;kan;10.4;8100
2;2014;2939;Redd, Silas;RB;was;h;jac;10.1;4500
2;2014;2791;Young, Darrel;RB;was;h;jac;9.7;4500
2;2014;2642;Forsett, Justin;RB;bal;h;pit;9.2;5200
2;2014;2732;Dwyer, Jonathan;RB;ari;a;nyg;9.1;5400
2;2014;2865;Richardson, Trent;RB;ind;h;phi;8;6400
2;2014;2689;Woodhead, Danny;RB;sdg;h;sea;8;5700
2;2014;4436;Collins, Jed;RB;det;a;car;7.3;4500
2;2014;2896;Lacy, Eddie;RB;gnb;h;nyj;7.1;8200
2;2014;2754;Mathews, Ryan;RB;sdg;h;sea;6.7;6800
2;2014;2859;Miller, Lamar;RB;mia;a;buf;6.3;6300
2;2014;2969;Crowell, Isaiah;RB;cle;h;nor;6.2;5100
2;2014;2613;Forte, Matt;RB;chi;a;sfo;6.1;8600
2;2014;2520;Jackson, Fred;RB;buf;h;mia;6.1;5700
2;2014;2819;Powell, Bilal;RB;nyj;a;gnb;5.8;4500
2;2014;2418;Jackson, Steven;RB;atl;a;cin;5.8;6700
2;2014;2598;Thomas, Pierre;RB;nor;a;cle;4.7;6500
2;2014;2976;Darkwa, Orleans;RB;nyg;h;ari;4.6;4500
2;2014;2705;Brown, Donald;RB;sdg;h;sea;4.6;5000
2;2014;2813;Helu, Roy;RB;was;h;jac;4.6;5000
2;2014;2830;Vereen, Shane;RB;nwe;a;min;4.5;6800
2;2014;3953;McCluster, Dexter;RB;ten;h;dal;4.4;4500
2;2014;2910;Bohanon, Tommy;RB;nyj;a;gnb;4.3;4500
2;2014;2647;Tolbert, Mike;RB;car;h;det;4.3;4700
2;2014;2495;Bush, Reggie;RB;det;a;car;4.2;7800
2;2014;2960;Blue, Alfred;RB;hou;a;oak;4;4500
2;2014;2709;Greene, Shonn;RB;ten;h;dal;4;5000
2;2014;2930;Freeman, Devonta;RB;atl;a;cin;3.2;5200
2;2014;2924;Anderson, C.J.;RB;den;h;kan;3.1;5200
2;2014;2934;Williams, Andre;RB;nyg;h;ari;2.9;5000
2;2014;2774;Smith, Antone;RB;atl;a;cin;2.9;4600
2;2014;2880;Dunbar, Lance;RB;dal;a;ten;2.7;4700
2;2014;2825;Develin, James;RB;nwe;a;min;2.7;4500
2;2014;2736;Gerhart, Toby;RB;jac;a;was;2.7;5800
2;2014;2900;Randle, Joseph;RB;dal;a;ten;2.6;4600
2;2014;2645;Johnson, Chris;RB;nyj;a;gnb;2.6;7000
2;2014;2901;Robinson, Denard;RB;jac;a;was;2.4;4500
2;2014;2911;Cunningham, Benny;RB;stl;a;tam;2.4;4500
2;2014;2818;Rodgers, Jacquizz;RB;atl;a;cin;2.3;4800
2;2014;2935;McKinnon, Jerick;RB;min;h;nwe;2.2;4500
2;2014;2957;Williams, Damien;RB;mia;a;buf;1.9;4500
2;2014;2629;Charles, Jamaal;RB;kan;a;den;1.7;9100
2;2014;2665;Reece, Marcel;RB;oak;h;hou;1.6;4500
2;2014;2802;Harris, DuJuan;RB;gnb;h;nyj;1.6;4500
2;2014;2549;Kuhn, John;RB;gnb;h;nyj;1.3;4500
2;2014;2920;Robinson, Khiry;RB;nor;a;cle;1.1;4700
2;2014;2933;Hyde, Carlos;RB;sfo;h;chi;1;6200
2;2014;2979;Johnson, Austin;RB;nor;a;cle;1;0
2;2014;2881;Grimes, Jonathan;RB;hou;a;oak;0.9;4500
2;2014;2721;Blount, LeGarrette;RB;nwe;a;min;0.8;4600
2;2014;2878;Lane, Jorvorskie;RB;tam;h;stl;0.8;4500
2;2014;2854;Gray, Cyrus;RB;kan;a;den;0.8;4500
2;2014;2683;Summers, Frank;RB;buf;h;mia;0.7;4500
2;2014;2895;James, Mike;RB;tam;h;stl;0.7;5800
2;2014;2899;Murray, Latavius;RB;oak;h;hou;0.6;4500
2;2014;2706;Moreno, Knowshon;RB;mia;a;buf;0.4;7000
2;2014;2927;Sankey, Bishop;RB;ten;h;dal;0.3;5900
2;2014;2730;Dixon, Anthony;RB;buf;h;mia;0.3;4500
2;2014;2882;Hughes, Robert;RB;ari;a;nyg;0.2;4500
2;2014;2456;Brown, Ronnie;RB;sdg;h;sea;0.2;5000
2;2014;2507;Washington, Leon;RB;ten;h;dal;0;4500
2;2014;2531;Owens, Montell;RB;chi;a;sfo;0;4500
2;2014;2972;Carey, Ka'Deem;RB;chi;a;sfo;0;4600
2;2014;2855;Herron, Dan;RB;ind;h;phi;0;4500
2;2014;2869;Cadet, Travaris;RB;nor;a;cle;0;4500
2;2014;2834;Miller, Bruce;RB;sfo;h;chi;0;4500
2;2014;2973;Agnew, Ray;RB;cle;h;nor;0;4500
2;2014;2877;Johnson, Will;RB;pit;a;bal;0;4500
2;2014;2840;Todman, Jordan;RB;jac;a;was;0;4500
2;2014;2907;Riddick, Theo;RB;det;a;car;0;4500
2;2014;2879;Polk, Chris;RB;phi;a;ind;0;4500
2;2014;2654;Ta'ufo'ou, Will;RB;jac;a;was;0;4500
2;2014;2919;Reynolds, Chase;RB;stl;a;tam;0;4500
2;2014;2974;Perry, Senorise;RB;chi;a;sfo;0;4500
2;2014;2903;Taylor, Stepfan;RB;ari;a;nyg;0;4900
2;2014;2822;Sherman, Anthony;RB;kan;a;den;0;4500
2;2014;2874;Bolden, Brandon;RB;nwe;a;min;0;4500
2;2014;2624;Felton, Jerome;RB;min;h;nwe;0;4500
2;2014;2601;Battle, Jackie;RB;ten;h;dal;0;4500
2;2014;2965;Thompson, Juwan;RB;den;h;kan;0;4500
2;2014;2978;Hewitt, Ryan;RB;cin;h;atl;0;4500
2;2014;2875;Draughn, Shaun;RB;cle;h;nor;0;4500
2;2014;2837;Hynoski, Henry;RB;nyg;h;ari;0;4500
2;2014;2905;Banyard, Joe;RB;min;h;nwe;0;4500
2;2014;2805;DiMarco, Patrick;RB;atl;a;cin;0;4500
2;2014;2692;Peerman, Cedric;RB;cin;h;atl;0;4500
2;2014;2975;Taliaferro, Lorenzo;RB;bal;h;pit;0;4500
2;2014;2824;Clutts, Tyler;RB;dal;a;ten;0;4500
2;2014;2909;Coleman, Derrick;RB;sea;a;sdg;0;4500
2;2014;2916;Whittaker, Fozzy;RB;car;h;det;0;4500
2;2014;2620;Hillis, Peyton;RB;nyg;h;ari;0;4500
2;2014;2908;Juszczyk, Kyle;RB;bal;h;pit;0;4500
2;2014;2913;Olawale, Jamize;RB;oak;h;hou;0;4500
2;2014;2980;Prosch, Jay;RB;hou;a;oak;0;4500
2;2014;2777;Starks, James;RB;gnb;h;nyj;0;6900
2;2014;3751;Nelson, Jordy;WR;gnb;h;nyj;31.4;7900
2;2014;3627;Marshall, Brandon;WR;chi;a;sfo;25.3;8000
2;2014;5252;Watkins, Sammy;WR;buf;h;mia;21.7;5900
2;2014;3891;Bryant, Dez;WR;dal;a;ten;21.3;8200
2;2014;5125;Cobb, Randall;WR;gnb;h;nyj;21;7600
2;2014;3679;Jones, James;WR;oak;h;hou;19.7;5000
2;2014;5089;Jones, Julio;WR;atl;a;cin;18.3;8400
2;2014;3826;Edelman, Julian;WR;nwe;a;min;18;6400
2;2014;5159;Sanu, Mohamed;WR;cin;h;atl;17.9;4700
2;2014;3872;Crabtree, Michael;WR;sfo;h;chi;17.7;6500
2;2014;3997;Thomas, Demaryius;WR;den;h;kan;14.7;8700
2;2014;3983;Sanders, Emmanuel;WR;den;h;kan;14.6;6900
2;2014;3902;Decker, Eric;WR;nyj;a;gnb;14.3;6300
2;2014;3809;Wallace, Mike;WR;mia;a;buf;14.1;6200
2;2014;3611;Avant, Jason;WR;kan;a;den;13.9;4500
2;2014;3474;Brown, Antonio;WR;pit;a;bal;13.5;8300
2;2014;3610;Austin, Miles;WR;cle;h;nor;13.4;4500
2;2014;3830;Maclin, Jeremy;WR;phi;a;ind;12.5;6300
2;2014;5158;Randle, Rueben;WR;nyg;h;ari;11.9;5500
2;2014;3677;Johnson, Calvin;WR;det;a;car;11.3;9200
2;2014;5157;Quick, Brian;WR;stl;a;tam;10.9;5200
2;2014;3748;Royal, Eddie;WR;sdg;h;sea;10.4;4900
2;2014;3437;Johnson, Andre;WR;hou;a;oak;10.4;7100
2;2014;3328;Smith, Steve;WR;bal;h;pit;10.1;6300
2;2014;5140;Hawkins, Andrew;WR;cle;h;nor;10;5200
2;2014;5206;Hopkins, DeAndre;WR;hou;a;oak;9.7;6100
2;2014;3978;Roberts, Andre;WR;was;h;jac;9.6;4500
2;2014;3802;Harvin, Percy;WR;nyj;a;gnb;9.5;7600
